[${project.name}][${env:SERVER_PORT}] 2020-09-23 08:40:11,904 INFO [main][PostProcessorRegistrationDelegate.java:335] - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$83d67fb2] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[${project.name}][${env:SERVER_PORT}] 2020-09-23 08:40:14,272 INFO [main][PropertySourceBootstrapConfiguration.java:101] - Located property source: CompositePropertySource {name='NACOS', propertySources=[NacosPropertySource@1967617997 {name='T_USER.properties', properties={}}]}
[${project.name}][${env:SERVER_PORT}] 2020-09-23 08:40:14,340 INFO [main][SpringApplication.java:651] - No active profile set, falling back to default profiles: default
[${project.name}][${env:SERVER_PORT}] 2020-09-23 08:40:14,933 DEBUG [main][LogFactory.java:105] - Logging initialized using 'class org.apache.ibatis.logging.slf4j.Slf4jImpl' adapter.
[${project.name}][${env:SERVER_PORT}] 2020-09-23 08:40:15,135 INFO [main][GenericScope.java:295] - BeanFactory id=1d46f546-d63f-3993-85f5-e70bfd14c6ec
[${project.name}][${env:SERVER_PORT}] 2020-09-23 08:40:15,186 INFO [main][PostProcessorRegistrationDelegate.java:335] - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$83d67fb2] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[${project.name}][${env:SERVER_PORT}] 2020-09-23 08:40:15,366 INFO [main][TomcatWebServer.java:108] - Tomcat initialized with port(s): 8888 (http)
[${project.name}][${env:SERVER_PORT}] 2020-09-23 08:40:15,373 INFO [main][DirectJDKLog.java:173] - Initializing ProtocolHandler ["http-nio-8888"]
[${project.name}][${env:SERVER_PORT}] 2020-09-23 08:40:15,374 INFO [main][DirectJDKLog.java:173] - Starting service [Tomcat]
[${project.name}][${env:SERVER_PORT}] 2020-09-23 08:40:15,374 INFO [main][DirectJDKLog.java:173] - Starting Servlet engine: [Apache Tomcat/9.0.37]
[${project.name}][${env:SERVER_PORT}] 2020-09-23 08:40:15,477 INFO [main][DirectJDKLog.java:173] - Initializing Spring embedded WebApplicationContext
[${project.name}][${env:SERVER_PORT}] 2020-09-23 08:40:15,477 INFO [main][ServletWebServerApplicationContext.java:285] - Root WebApplicationContext: initialization completed in 1112 ms
[${project.name}][${env:SERVER_PORT}] 2020-09-23 08:40:15,550 INFO [main][DruidDataSourceAutoConfigure.java:56] - Init DruidDataSource
[${project.name}][${env:SERVER_PORT}] 2020-09-23 08:40:15,620 INFO [main][DruidDataSource.java:983] - {dataSource-1} inited
[${project.name}][${env:SERVER_PORT}] 2020-09-23 08:40:16,559 DEBUG [main][MybatisConfiguration.java:80] - addMappedStatement: com.zzc.intern.mapper.AssessInfoMapper.addAssess
[${project.name}][${env:SERVER_PORT}] 2020-09-23 08:40:16,564 DEBUG [main][MybatisConfiguration.java:80] - addMappedStatement: com.zzc.intern.mapper.AssessInfoMapper.findByEerm
[${project.name}][${env:SERVER_PORT}] 2020-09-23 08:40:16,564 DEBUG [main][MybatisConfiguration.java:80] - addMappedStatement: com.zzc.intern.mapper.AssessInfoMapper.findById
[${project.name}][${env:SERVER_PORT}] 2020-09-23 08:40:16,565 DEBUG [main][MybatisConfiguration.java:80] - addMappedStatement: com.zzc.intern.mapper.AssessInfoMapper.updateAssess
[${project.name}][${env:SERVER_PORT}] 2020-09-23 08:40:16,566 DEBUG [main][MybatisConfiguration.java:80] - addMappedStatement: com.zzc.intern.mapper.AssessInfoMapper.delAssess
[${project.name}][${env:SERVER_PORT}] 2020-09-23 08:40:16,591 DEBUG [main][MybatisConfiguration.java:80] - addMappedStatement: com.zzc.intern.mapper.AssessInfoMapper.insert
[${project.name}][${env:SERVER_PORT}] 2020-09-23 08:40:16,595 DEBUG [main][MybatisConfiguration.java:80] - addMappedStatement: com.zzc.intern.mapper.AssessInfoMapper.delete
[${project.name}][${env:SERVER_PORT}] 2020-09-23 08:40:16,597 DEBUG [main][MybatisConfiguration.java:80] - addMappedStatement: com.zzc.intern.mapper.AssessInfoMapper.deleteByMap
[${project.name}][${env:SERVER_PORT}] 2020-09-23 08:40:16,598 DEBUG [main][MybatisConfiguration.java:80] - addMappedStatement: com.zzc.intern.mapper.AssessInfoMapper.deleteById
[${project.name}][${env:SERVER_PORT}] 2020-09-23 08:40:16,599 DEBUG [main][MybatisConfiguration.java:80] - addMappedStatement: com.zzc.intern.mapper.AssessInfoMapper.deleteBatchIds
[${project.name}][${env:SERVER_PORT}] 2020-09-23 08:40:16,602 DEBUG [main][MybatisConfiguration.java:80] - addMappedStatement: com.zzc.intern.mapper.AssessInfoMapper.update
[${project.name}][${env:SERVER_PORT}] 2020-09-23 08:40:16,604 DEBUG [main][MybatisConfiguration.java:80] - addMappedStatement: com.zzc.intern.mapper.AssessInfoMapper.updateById
[${project.name}][${env:SERVER_PORT}] 2020-09-23 08:40:16,604 DEBUG [main][MybatisConfiguration.java:80] - addMappedStatement: com.zzc.intern.mapper.AssessInfoMapper.selectById
[${project.name}][${env:SERVER_PORT}] 2020-09-23 08:40:16,606 DEBUG [main][MybatisConfiguration.java:80] - addMappedStatement: com.zzc.intern.mapper.AssessInfoMapper.selectBatchIds
[${project.name}][${env:SERVER_PORT}] 2020-09-23 08:40:16,607 DEBUG [main][MybatisConfiguration.java:80] - addMappedStatement: com.zzc.intern.mapper.AssessInfoMapper.selectByMap
[${project.name}][${env:SERVER_PORT}] 2020-09-23 08:40:16,609 DEBUG [main][MybatisConfiguration.java:80] - addMappedStatement: com.zzc.intern.mapper.AssessInfoMapper.selectOne
